,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.460199004975,0.585,0.339514433187,0.659090909091,0.725,0.555555555556,0.535504814127,0.500340195217,0.62995705739,0.183711496693,0.200553424993,0.432143280775,0.335812039649,0.532789296017,0.0391424478101,0.030625,0.117928856979,1
0,0.485074626866,0.59,0.34104377748,0.590909090909,0.725,0.555555555556,0.513363530234,0.492777874204,0.639551532417,0.185039199163,0.200332378543,0.438369076462,0.366250539126,0.547032444506,0.0376074498567,0.033125,0.115777915715,1
0,0.467661691542,0.565,0.350028675206,0.704545454545,0.625,0.533333333333,0.545768797925,0.478239322844,0.711062061552,0.188567475321,0.214622709564,0.433347626651,0.349307474685,0.526327266267,0.0347421203438,0.03875,0.116095878041,1
0,0.435323383085,0.53,0.342573121774,0.636363636364,0.675,0.622222222222,0.52150703012,0.471880150275,0.646457806014,0.18618271914,0.205583324023,0.425854191795,0.341020415946,0.528294064532,0.0423659435121,0.037625,0.123023822738,1
0,0.47263681592,0.555,0.338367424967,0.727272727273,0.75,0.577777777778,0.525059910227,0.50953945807,0.725967373554,0.187740886122,0.192596535152,0.436432356251,0.334394368438,0.562640588291,0.0420589439214,0.034375,0.117750857763,1
0,0.477611940299,0.575,0.35385203594,0.636363636364,0.75,0.6,0.562788290475,0.507347900334,0.750838700618,0.191796194107,0.211361573313,0.445014326625,0.349871768568,0.560490164805,0.0684609087188,0.0575,0.13721134741,10
0,0.465174129353,0.625,0.357484228637,0.681818181818,0.725,0.577777777778,0.564330550316,0.515049065693,0.73167160586,0.193038665412,0.207760044787,0.443128759398,0.352393656048,0.561731786905,0.068256242325,0.05575,0.132150947662,10
0,0.485074626866,0.58,0.348690498949,0.704545454545,0.8,0.555555555556,0.556659414032,0.516744134324,0.723279172122,0.195581074397,0.214646065983,0.43590827687,0.341047787012,0.55025377602,0.0714285714286,0.055875,0.13688984686,10
0,0.495024875622,0.595,0.3572930606,0.659090909091,0.625,0.6,0.561970587744,0.526873933504,0.738796432418,0.196007315797,0.211434447025,0.444757197621,0.354508727007,0.554474286959,0.071479738027,0.056375,0.129930314828,10
0,0.497512437811,0.62,0.359395909004,0.636363636364,0.725,0.555555555556,0.565193180483,0.518963105569,0.73287364715,0.195599325637,0.21649222812,0.450178731978,0.357929735238,0.559794397366,0.0746520671306,0.057375,0.131348648447,10
0,0.490049751244,0.625,0.364939782068,0.727272727273,0.7,0.622222222222,0.561512778424,0.500734137493,0.728021771396,0.189418718741,0.212313360931,0.435680884801,0.350116233426,0.547573995451,0.0560274252968,0.04325,0.136390191715,20
0,0.490049751244,0.59,0.35442554005,0.681818181818,0.75,0.533333333333,0.555504725963,0.508665779389,0.72277650031,0.190145799675,0.216894438776,0.442244699412,0.359134062117,0.540686615092,0.0638559148588,0.054125,0.124988821261,20
