,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.6417910447761194,0.765,0.4056585738864462,0.7727272727272727,0.75,0.5333333333333333,0.727210142976261,0.6690228762580372,0.7493306851813563,0.20592084923220494,0.3213891840084077,0.6310273136331397,0.5964348252234872,0.6761762058926548,0.6080638559148588,0.367875,0.15944045139149782,1
0,0.5845771144278606,0.75,0.4159816478684764,0.7954545454545455,0.75,0.5777777777777778,0.7349813467838096,0.6627096466994566,0.7473199979318467,0.20957810107921657,0.327918541909095,0.621429103959514,0.5907536418914041,0.667829865769404,0.6029471960704053,0.37175,0.17745061386957772,1
0,0.6069651741293532,0.765,0.4056585738864462,0.7727272727272727,0.7250000000000001,0.5555555555555556,0.727210142976261,0.6690228762580372,0.7493306851813563,0.20592084923220494,0.3213891840084077,0.6310273136331397,0.5964348252234872,0.6761762058926548,0.6080638559148588,0.367875,0.15944045139149782,1
0,0.6119402985074627,0.755,0.4257312177403938,0.7954545454545455,0.75,0.5555555555555556,0.7328832318949587,0.6647626139184097,0.7334418848509927,0.20639607037393476,0.328868843045301,0.6333571615841591,0.6015592135946316,0.6817466491203247,0.6058125255832992,0.366875,0.17914440048719865,1
0,0.6069651741293532,0.765,0.4056585738864462,0.75,0.7250000000000001,0.5333333333333333,0.727210142976261,0.6690228762580372,0.7493306851813563,0.20592084923220494,0.3213891840084077,0.6310273136331397,0.5964348252234872,0.6761762058926548,0.6080638559148588,0.367875,0.15944045139149782,1
0,0.6069651741293532,0.765,0.4056585738864462,0.75,0.7250000000000001,0.6,0.727210142976261,0.6690228762580372,0.7493306851813563,0.20592084923220494,0.3213891840084077,0.6310273136331397,0.5964348252234872,0.6761762058926548,0.6080638559148588,0.367875,0.15944045139149782,1
0,0.6218905472636815,0.78,0.4108201108774613,0.8181818181818182,0.7250000000000001,0.5333333333333333,0.732523649102407,0.6580668643797397,0.7484783286299338,0.2143061201770961,0.32408187845647446,0.6395092969728549,0.5986350089479239,0.6918632511397753,0.5991097011870651,0.369375,0.18029844377133036,1
0,0.5895522388059702,0.765,0.42668705792391515,0.75,0.75,0.5777777777777778,0.7301862226843331,0.6923829932372,0.7590781472822397,0.20419355848965517,0.32577090683844234,0.629115146854604,0.5986923757014752,0.6778481996041792,0.6079103561195252,0.365875,0.16881974048519086,1
0,0.5895522388059702,0.735,0.41521697572165933,0.7727272727272727,0.7250000000000001,0.5555555555555556,0.7340396517176624,0.6658010274808154,0.7129416170244713,0.21338670275941507,0.32351348673896096,0.6307671836540651,0.5944967288240985,0.685382571953322,0.6098035202619729,0.363,0.18098602107619857,1
0,0.5895522388059702,0.765,0.42668705792391515,0.7045454545454546,0.7000000000000001,0.5777777777777778,0.7301862226843331,0.6923829932372,0.7590781472822397,0.20419355848965517,0.32577090683844234,0.629115146854604,0.5986923757014752,0.6778481996041792,0.6079103561195252,0.365875,0.16881974048519086,1
0,0.572139303482587,0.78,0.41636398394188495,0.7272727272727273,0.7250000000000001,0.5555555555555556,0.7197214391880535,0.6532659467265155,0.6278589489555504,0.19680309338320864,0.3327079859734837,0.596895177558666,0.5611681447952219,0.6494845585339053,0.5876995497339337,0.345125,0.1700845450086804,2
0,0.6144278606965174,0.805,0.40795259032689735,0.7954545454545455,0.75,0.5333333333333333,0.7107904629384824,0.623813431232354,0.7252242934834319,0.21628319392944978,0.3178142637413582,0.6237350805175927,0.5873251347379875,0.6750780409967545,0.58810888252149,0.349375,0.1640270996105948,2
0,0.5796019900497512,0.8150000000000001,0.41731982412540625,0.7954545454545455,0.7250000000000001,0.5333333333333333,0.7152122303861103,0.6304485156912354,0.7085924130825973,0.2027910301554707,0.315991108971396,0.6069080674296626,0.5749492887610823,0.655458116504551,0.5831457224723701,0.347375,0.18153377726720385,2
0,0.599502487562189,0.8,0.4199961766392659,0.7727272727272727,0.7250000000000001,0.5555555555555556,0.7204674833972451,0.6404798293031325,0.630962401014576,0.21103885954872012,0.3287378521106269,0.6040203109236276,0.5632573444735725,0.6538858255497412,0.5930720425706099,0.361375,0.18838608894206527,2
0,0.5920398009950248,0.765,0.40642324603326324,0.8181818181818182,0.75,0.5777777777777778,0.7116702999119657,0.6668396948720067,0.7766279501230676,0.20472367888157833,0.3060919773157042,0.6169377354796978,0.5756748094677601,0.65971736088852,0.5991608677855096,0.351625,0.1629089470047118,2
