,MEN,RG65,RW,SimLex999,WS353,WS353R,SemEval2012_2,nsubs
0,0.6399572156739621,0.7142310794997002,0.2421056106728921,0.24154152718389332,0.541094364276035,0.49349449785591676,0.13110815511715285,60
0,0.6321276539039059,0.7246123451901029,0.2530612015958678,0.23999667549134873,0.5349392279122267,0.49405879173888834,0.12244898416437591,60
0,0.6398736210865833,0.7319557247100508,0.2584369647536206,0.24064646057853542,0.5386349287633372,0.4933388952237352,0.11265025872552571,70
0,0.6342366128711757,0.7161762008606388,0.24205085624008496,0.255143340339681,0.5324840210462783,0.485045087455409,0.12618259213597877,70
0,0.6358688251701986,0.7486094604070757,0.2576677485130712,0.24781816911586205,0.5346763697739589,0.505169194622751,0.12863033311916358,70
0,0.6421666295210019,0.7138158288720842,0.2703124933289644,0.2440899646646518,0.5367216707211242,0.505112577761403,0.13727926436930643,80
0,0.6351593709453941,0.7489591451461207,0.2532416281592567,0.23799289814845734,0.5220829141220849,0.47090137060926057,0.13123564623453757,80
0,0.6351346296683302,0.7080460306778393,0.25322646538227767,0.24231136221892893,0.5409533184457449,0.49977971935774557,0.139849805577141,80
0,0.6338059017431986,0.7386871559366698,0.24201961719709394,0.24670340412489286,0.5387280953997861,0.49666541703750505,0.1230818417071592,80
0,0.627623413309856,0.7253554252605737,0.25614046616040426,0.24449659263869986,0.5390811191993901,0.5010702838395981,0.1295931846068938,90
0,0.6322598078849977,0.7348406238071732,0.2591163488677356,0.2436168181386901,0.5409930131620064,0.4977610095465037,0.13732222526873306,90
0,0.638739703571456,0.7469484578966112,0.253466760776089,0.24110013238867406,0.5342140831986658,0.4905882906220878,0.13896711421353294,90
0,0.6325355467648719,0.7165695961920646,0.2508344155509602,0.24654125725578846,0.5221925861216528,0.4813218726661016,0.12271080625648433,90
0,0.640994374063005,0.7460305354566177,0.2602173092402698,0.2479563637695845,0.5341762981938396,0.48528017866113865,0.12969481762257065,90
