,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.509950248756,0.595,0.375645192124,0.659090909091,0.75,0.6,0.619205653646,0.605594108651,0.67550349465,0.232844684527,0.246374289853,0.512730375184,0.484289571061,0.586189805599,0.0,0.0,0.133397736221,2
0,0.542288557214,0.625,0.365704454215,0.636363636364,0.75,0.555555555556,0.612105008714,0.599979669739,0.656074136337,0.235774539796,0.244773475434,0.520439198208,0.475083519427,0.601305173888,5.11665984445e-05,0.0,0.145727445675,2
0,0.524875621891,0.62,0.359778245077,0.613636363636,0.775,0.6,0.619200838675,0.564606597818,0.679830843296,0.238835620152,0.242136119867,0.549326857458,0.52291764329,0.610500780658,0.0,0.0,0.118434064489,2
0,0.492537313433,0.56,0.370101319059,0.681818181818,0.75,0.533333333333,0.62383833424,0.585869073712,0.66437914889,0.226673145489,0.231789081784,0.514715247405,0.465542265978,0.591116125981,0.0,0.0,0.132708842022,2
0,0.509950248756,0.645,0.37354234372,0.727272727273,0.75,0.555555555556,0.616874655594,0.588871868247,0.709750743781,0.228045633167,0.2496845462,0.523985668751,0.461607581588,0.617758280604,0.0,0.000125,0.128349800797,2
0,0.52736318408,0.62,0.370292487096,0.772727272727,0.75,0.577777777778,0.619858170458,0.59876281454,0.717640505705,0.22893691536,0.247601931163,0.52050126383,0.481999025326,0.587457967281,0.0,0.0,0.137624990482,2
0,0.509950248756,0.57,0.366086790289,0.659090909091,0.65,0.555555555556,0.617507212312,0.578164862407,0.701052335897,0.225828047619,0.244030764177,0.525367890607,0.497416809025,0.587090716839,5.11665984445e-05,0.0,0.118292435198,2
0,0.524875621891,0.595,0.367998470656,0.681818181818,0.75,0.577777777778,0.626681042578,0.59600572627,0.695741498923,0.234427428001,0.235408261528,0.518636839837,0.488980521738,0.580422108716,0.0,0.0,0.126503014558,2
0,0.519900497512,0.605,0.374498183904,0.659090909091,0.775,0.6,0.621570791518,0.588441120797,0.720350562433,0.223114527376,0.241850101528,0.52392428517,0.480389381711,0.595778485108,0.0,0.0,0.127780658268,2
0,0.519900497512,0.59,0.369336646913,0.727272727273,0.75,0.577777777778,0.626681042578,0.59600572627,0.695741498923,0.234427428001,0.235408261528,0.518636839837,0.488980521738,0.580422108716,0.0,0.0,0.126503014558,2
0,0.504975124378,0.61,0.371057159243,0.704545454545,0.75,0.555555555556,0.636603182053,0.596362609542,0.740151460781,0.240049029527,0.24432056191,0.539571505814,0.489602932267,0.628038423836,0.048454768727,0.000875,0.136555571053,4
0,0.522388059701,0.585,0.361881093481,0.704545454545,0.75,0.533333333333,0.632645708277,0.605009287128,0.674607427507,0.242947807627,0.243901921719,0.526964000143,0.475524830989,0.615005336861,0.0500920998772,0.002125,0.144354534552,4
0,0.539800995025,0.605,0.381571401262,0.704545454545,0.75,0.577777777778,0.634856813066,0.607841001062,0.728262179654,0.245128148353,0.246275971425,0.537252843316,0.494136780528,0.627859819617,0.0523945968072,0.002375,0.136400122887,4
0,0.532338308458,0.6,0.364939782068,0.659090909091,0.75,0.555555555556,0.637078041055,0.598896328482,0.735583703878,0.242713708413,0.243622625648,0.536520468981,0.499978440792,0.610420444624,0.0476361031519,0.00125,0.139843111412,4
0,0.497512437811,0.59,0.37526285605,0.704545454545,0.75,0.577777777778,0.632047900224,0.599011059093,0.711717720438,0.2403726307,0.250592690234,0.535232368618,0.487108415853,0.625180039048,0.0679492427343,0.0045,0.133917180588,4
0,0.512437810945,0.61,0.370483655133,0.704545454545,0.75,0.555555555556,0.632389716984,0.590182386268,0.718143177518,0.238109700154,0.248299638736,0.536669972104,0.505083331965,0.601643015603,0.0568972574703,0.001,0.135111788829,4
0,0.517412935323,0.645,0.375454024087,0.636363636364,0.725,0.577777777778,0.634350713765,0.597453819492,0.704286919733,0.241534502464,0.239444095475,0.541750895786,0.497896365089,0.622506714053,0.0459476054032,0.001,0.137830664476,4
0,0.55223880597,0.605,0.369145478876,0.681818181818,0.75,0.6,0.633049290537,0.607836178315,0.697577343803,0.245347283747,0.24486388602,0.526338160424,0.488163139237,0.602876747557,0.0462546049939,0.001875,0.142983525768,4
0,0.5,0.6,0.374498183904,0.704545454545,0.75,0.577777777778,0.631254630236,0.594546718409,0.706494304648,0.239234784196,0.247447788427,0.540388180269,0.49152528093,0.627366326836,0.0677445763406,0.0025,0.137218963294,4
0,0.532338308458,0.615,0.373733511757,0.659090909091,0.75,0.6,0.63034563621,0.592921960352,0.673755070955,0.2333058774,0.247220910394,0.526225078225,0.488923904877,0.600540546991,0.0695354072861,0.001875,0.127115679591,4
0,0.529850746269,0.615,0.377174536418,0.659090909091,0.725,0.577777777778,0.635518771099,0.5949584287,0.717618650409,0.239892139034,0.247234920635,0.526800310591,0.487451491536,0.604516463398,0.206150225133,0.03,0.137423519912,6
