,MEN,RG65,RW,SimLex999,WS353,WS353R,SemEval2012_2,nsubs
0,0.5964806989695632,0.5136868816573119,0.04330118682186627,0.23640871788115878,0.49056699392834596,0.4808816859427737,0.1349127159074504,10
0,0.6037428660760665,0.5007922569050224,0.048862259181110534,0.2312230752872589,0.4955861176153832,0.48657674228061754,0.13847979514200465,10
0,0.6013943559838093,0.5129656568830314,0.05050772319690943,0.23917973643877682,0.4891804090043418,0.4815400912972574,0.13388685600053124,10
0,0.6001967930822241,0.5386674852028491,0.049714828265225844,0.23570476949285718,0.4934945773655301,0.4805993515282371,0.1316903694199445,10
0,0.5999494787849936,0.5387986169799911,0.04792021095812633,0.23520023834297163,0.49913653890431386,0.48925235766193653,0.13915791955879006,10
0,0.5968592034088394,0.5082012023135414,0.04581723726284951,0.23857482865563612,0.4947071059823008,0.48506420970659275,0.13653927681844266,10
0,0.5974696987494412,0.514167698173499,0.0450411759159548,0.2399550299309359,0.4966629205066856,0.47983258675037865,0.1273776817448395,10
0,0.599379608059832,0.5260351240048435,0.045072271624601076,0.24416220647205003,0.48726401632383665,0.48043737481232757,0.13412199292516214,10
0,0.5977636565435355,0.48359213880323954,0.04533205906308824,0.24113306367575194,0.4959551006177867,0.48807202733396676,0.1370121769676183,10
0,0.5996846164375285,0.49003945117938424,0.04966627928250909,0.24011360202216675,0.4842754586160149,0.47118595470040703,0.13843025150242716,10
0,0.6026563960720625,0.5459452988342263,0.04448602488412439,0.24147591737180943,0.495145656944492,0.482543447065252,0.1392880559203296,20
0,0.6004031635590165,0.5332255164514591,0.04708666897344918,0.24200547798495464,0.4955904826638405,0.48648075607859714,0.1293295111387432,20
0,0.6028995235822926,0.4986941484707515,0.047739966949922816,0.23932604956952194,0.48881388134169546,0.47955400179685853,0.14275500891359938,20
0,0.5991184483569683,0.49288063968412604,0.047790357172829555,0.23871931828857706,0.49145910070680016,0.4845321611883624,0.13930272030972174,20
0,0.6055978141097813,0.506824318653551,0.04715058682083466,0.2411948760386132,0.4990451457022398,0.4842502017199274,0.13982801538983486,20
0,0.6061427108227587,0.503961274852619,0.04811201940945964,0.23829032688931312,0.49702508312087457,0.4872730171913672,0.13749474014919838,20
0,0.6007082521825375,0.5068680292459318,0.043065883171405084,0.2375360427398421,0.4865574241048163,0.47878011304306883,0.14226134092986342,20
0,0.6044881061597716,0.5034804583364318,0.04702496603389875,0.23949239710353507,0.49251066816170896,0.4854980223461928,0.1356599879756361,20
0,0.6020303157030472,0.5128782356982701,0.04611486211593034,0.23871682075858125,0.49295726718199323,0.4862287922982936,0.14084554790578785,20
0,0.5985772191671509,0.5220356048020146,0.04839080257071246,0.2370568600148783,0.4957717685825814,0.4832104761800736,0.1381463135263174,20
0,0.6003069788240978,0.5135120392877893,0.04455874246192988,0.23967734070426425,0.4935573249371034,0.48107215856240787,0.1325638877568177,30
0,0.6028806824850721,0.5138398687306442,0.04593205235164487,0.2382625772247086,0.49377598658325966,0.48318198027634873,0.1448094050385315,30
0,0.5997651532366419,0.5186043233001343,0.04715452887186884,0.24022991470223876,0.4966061748767411,0.48898014679214424,0.13733290269921744,30
0,0.6010343087510636,0.5122225768125604,0.04858260603030241,0.24104959201058923,0.49396804871537947,0.4821962469751313,0.13879209892509797,30
0,0.5995603116539822,0.5041798278145222,0.04754354470152165,0.24101864069307435,0.4951759394681642,0.48145422863998133,0.13690680966370525,30
0,0.6003412557947504,0.5083323340906832,0.04689858578886744,0.23787737986346835,0.4886684706649627,0.48222661760936436,0.13468486530507304,30
