& 50& 100& 150& 200 \\
5& 83.0& 111.0& 147.0& 203.0 \\
10& 80.0& 107.0& 148.0& 206.0 \\
15& 78.0& 106.0& 179.0& 216.0 \\
20& 76.0& 105.0& 175.0& 210.0 \\
25& 75.0& 114.0& 140.0& 189.0 \\
30& 76.0& 102.0& 150.0& 203.0 \\
35& 73.0& 109.0& 168.0& 242.0 \\
40& 73.0& 109.0& 155.0& 173.0 \\
45& 72.0& 109.0& 169.0& 234.0 \\
50& 72.0& 105.0& 162.0& 0 \\
