word, count, mu, sigma, KL_divergence
spherical,1,0.13996057376,0.706800598013,1.67695290456
tropojë,1,0.13996057376,0.706800598013,1.67695290456
notations,7,1.98857521536,0.3006668586,1.97383953697
mudmen,1,0.13996057376,0.706800598013,1.67695290456
homologized,1,0.13996057376,0.706800598013,1.67695290456
biologist,3,0.469205484526,0.665881434969,1.08683315498
dost,3,1.183642248,0.448959531674,1.78125426601
sanctioned,2,0.798450395292,0.533365454371,1.71562182617
remorseless,1,0.13996057376,0.706800598013,1.67695290456
bahlulzade,1,0.13996057376,0.706800598013,1.67695290456
m³,1,0.13996057376,0.706800598013,1.67695290456
lysippos,1,0.13996057376,0.706800598013,1.67695290456
detention,6,0.707351072349,0.654143000318,0.792848395868
royalty,1,0.13996057376,0.706800598013,1.67695290456
indicative,2,0.798450395292,0.533365454371,1.71562182617
happiest,1,0.13996057376,0.706800598013,1.67695290456
germanic,5,0.304236455553,0.695978053485,1.18647191723
clouds,13,0.556114908708,0.94187926412,1.62172754121
apartheid,1,0.13996057376,0.706800598013,1.67695290456
confederates,10,1.58610873168,0.524787933801,1.5185733727
paleolithic,11,0.351612161063,0.715320220708,1.06450396712
inequality,7,0.565055507835,0.690714120304,0.830105419744
quaternary,4,0.661801410878,0.705900069024,1.21479004243
signing,9,0.534222690063,0.739112922372,0.958758894199
nabokova,1,0.13996057376,0.706800598013,1.67695290456
rivers,38,0.623181337597,0.795582371974,0.845668477017
bursa,1,0.13996057376,0.706800598013,1.67695290456
arctinus,2,0.798450395292,0.533365454371,1.71562182617
concern,31,0.368387227114,0.758982712494,1.16331628278
jackson,5,0.304236455553,0.695978053485,1.18647191723
papillae,1,0.13996057376,0.706800598013,1.67695290456
legal,60,0.612023264356,0.838331519001,0.92399528609
sponsoring,1,0.13996057376,0.706800598013,1.67695290456
foodstuffs,3,0.469205484526,0.665881434969,1.08683315498
dse,1,0.13996057376,0.706800598013,1.67695290456
corridors,2,0.13996057376,0.706800598013,1.67695290456
zhēnzhǔ,1,0.13996057376,0.706800598013,1.67695290456
wrestler,2,0.798450395292,0.533365454371,1.71562182617
pryor,1,0.13996057376,0.706800598013,1.67695290456
snapped,1,0.13996057376,0.706800598013,1.67695290456
mistress,3,0.469205484526,0.665881434969,1.08683315498
dzd,2,0.798450395292,0.533365454371,1.71562182617
recipes,2,0.798450395292,0.533365454371,1.71562182617
ordeal,2,0.798450395292,0.533365454371,1.71562182617
dentures,1,0.13996057376,0.706800598013,1.67695290456
himalayan,1,0.13996057376,0.706800598013,1.67695290456
collated,1,0.13996057376,0.706800598013,1.67695290456
named,99,0.636237048198,0.796197266037,0.700469960006
pistols,2,0.13996057376,0.706800598013,1.67695290456
graduated,3,0.469205484526,0.665881434969,1.08683315498
horticultural,1,0.13996057376,0.706800598013,1.67695290456
legislator,1,0.13996057376,0.706800598013,1.67695290456
longman,3,0.13996057376,0.706800598013,1.67695290456
tantric,1,0.13996057376,0.706800598013,1.67695290456
mdina,1,0.13996057376,0.706800598013,1.67695290456
chemoreceptors,1,0.13996057376,0.706800598013,1.67695290456
overhead,2,0.13996057376,0.706800598013,1.67695290456
foundlings,1,0.13996057376,0.706800598013,1.67695290456
orioles,1,0.13996057376,0.706800598013,1.67695290456
function,74,0.878836411344,0.874773197786,0.614196897902
tsarist,1,0.13996057376,0.706800598013,1.67695290456
huntsville,27,3.27100559646,0.23330718546,2.78683596285
albaamo,1,0.13996057376,0.706800598013,1.67695290456
bitchy,1,0.13996057376,0.706800598013,1.67695290456
wearer,1,0.13996057376,0.706800598013,1.67695290456
gertie,3,0.469205484526,0.665881434969,1.08683315498
presumed,6,0.469205484526,0.665881434969,1.08683315498
sheridan,2,0.798450395292,0.533365454371,1.71562182617
wintering,1,0.13996057376,0.706800598013,1.67695290456
utopia,3,0.13996057376,0.706800598013,1.67695290456
servants,2,0.13996057376,0.706800598013,1.67695290456
popularize,1,0.13996057376,0.706800598013,1.67695290456
constant,35,0.489113791592,0.846887900983,1.1504043175
icosane,1,0.13996057376,0.706800598013,1.67695290456
phytoplankton,5,0.798450395292,0.762332905161,1.35510920466
jiamao,3,1.183642248,0.448959531674,1.78125426601
agricultūra,1,0.13996057376,0.706800598013,1.67695290456
sidamic,1,0.13996057376,0.706800598013,1.67695290456
villain,2,0.13996057376,0.706800598013,1.67695290456
serial,1,0.13996057376,0.706800598013,1.67695290456
dairy,7,0.13996057376,0.706800598013,1.67695290456
hippolytus,3,1.183642248,0.448959531674,1.78125426601
breaking,8,0.233535443136,0.702890297896,1.3165456175
ethnologist,1,0.13996057376,0.706800598013,1.67695290456
husbandry,6,0.400331686175,0.732027615875,1.25818926828
tetragraph,1,0.13996057376,0.706800598013,1.67695290456
beauty,16,1.04931965372,0.718738182502,0.849385840485
rainbow,3,0.13996057376,0.706800598013,1.67695290456
eruption,4,0.661801410878,0.705900069024,1.21479004243
eddying,1,0.13996057376,0.706800598013,1.67695290456
hydroxyl,4,0.661801410878,0.705900069024,1.21479004243
mesa,6,1.183642248,0.448959531674,1.78125426601
lindenburger,1,0.13996057376,0.706800598013,1.67695290456
chief,55,0.636355006148,0.807166787097,0.763104178989
cortex,6,1.12769530606,0.543515982837,1.24270833131
oracle,31,1.77728050552,1.1465834567,2.11978747954
mitchum,1,0.13996057376,0.706800598013,1.67695290456
accidents,4,0.13996057376,0.706800598013,1.67695290456
ābu,1,0.13996057376,0.706800598013,1.67695290456
scholarship,10,0.532854820499,0.683525169787,0.835333158537
152.306121707
