,KL_Divergence,KL_Divergence_bigram,sample_size
0,0.997903773119,,1/100000
0,0.997903773119,,1/100000
0,0.997903773119,,1/100000
0,0.997903773119,,1/100000
0,0.997903773119,,1/100000
0,0.997903773119,,1/100000
0,0.997903773119,,1/100000
0,0.997903773119,,1/100000
0,0.997903773119,,1/100000
0,0.997903773119,,1/100000
0,0.0,,1/50000
0,0.0,,1/50000
0,0.0,,1/50000
0,0.0,,1/50000
0,0.0,,1/50000
0,0.0,,1/50000
0,0.0,,1/50000
0,0.0,,1/50000
0,0.0,,1/50000
0,0.0,,1/50000
0,0.0,,1/30000
0,0.0,,1/30000
0,0.0,,1/30000
0,0.0,,1/30000
0,0.0,,1/30000
0,0.0,,1/30000
0,0.0,,1/30000
0,0.0,,1/30000
0,0.0,,1/30000
0,0.0,,1/30000
0,1.09521150697,,1/10000
0,1.09521150697,,1/10000
0,1.09521150697,,1/10000
0,1.09521150697,,1/10000
0,1.09521150697,,1/10000
0,1.09521150697,,1/10000
0,1.09521150697,,1/10000
0,1.09521150697,,1/10000
0,1.09521150697,,1/10000
0,1.09521150697,,1/10000
0,0.980535073858,,1/5000
0,0.980535073858,,1/5000
0,0.980535073858,,1/5000
0,0.980535073858,,1/5000
0,0.980535073858,,1/5000
0,0.980535073858,,1/5000
0,0.980535073858,,1/5000
0,0.980535073858,,1/5000
0,0.980535073858,,1/5000
0,0.980535073858,,1/5000
0,5.70533378217,,1/3000
0,5.70533378217,,1/3000
0,5.70533378217,,1/3000
0,5.70533378217,,1/3000
0,5.70533378217,,1/3000
0,5.70533378217,,1/3000
0,5.70533378217,,1/3000
0,5.70533378217,,1/3000
0,5.70533378217,,1/3000
0,5.70533378217,,1/3000
0,5.17565361997,,1/1000
0,5.17565361997,,1/1000
0,5.17565361997,,1/1000
0,5.17565361997,,1/1000
0,5.17565361997,,1/1000
0,5.17565361997,,1/1000
0,5.17565361997,,1/1000
0,5.17565361997,,1/1000
0,5.17565361997,,1/1000
0,5.17565361997,,1/1000
0,1.1568259684,,1/500
0,1.1568259684,,1/500
0,1.1568259684,,1/500
0,1.1568259684,,1/500
0,1.1568259684,,1/500
0,1.1568259684,,1/500
0,1.1568259684,,1/500
0,1.1568259684,,1/500
0,1.1568259684,,1/500
0,1.1568259684,,1/500
0,1.35463514125,,1/300
0,1.35463514125,,1/300
0,1.35463514125,,1/300
0,1.35463514125,,1/300
0,1.35463514125,,1/300
0,1.35463514125,,1/300
0,1.35463514125,,1/300
0,1.35463514125,,1/300
0,1.35463514125,,1/300
0,1.35463514125,,1/300
0,0.503691123257,,1/100
0,0.503691123257,,1/100
0,0.503691123257,,1/100
0,0.503691123257,,1/100
0,0.503691123257,,1/100
0,0.503691123257,,1/100
0,0.503691123257,,1/100
0,0.503691123257,,1/100
0,0.503691123257,,1/100
0,0.503691123257,,1/100
0,0.684678655855,,1/50
0,0.684678655855,,1/50
0,0.684678655855,,1/50
0,0.684678655855,,1/50
0,0.684678655855,,1/50
0,0.684678655855,,1/50
0,0.684678655855,,1/50
0,0.684678655855,,1/50
0,0.684678655855,,1/50
0,0.684678655855,,1/50
0,0.577616633505,,1/30
0,0.577616633505,,1/30
0,0.577616633505,,1/30
0,0.577616633505,,1/30
0,0.577616633505,,1/30
0,0.577616633505,,1/30
0,0.577616633505,,1/30
0,0.577616633505,,1/30
0,0.577616633505,,1/30
0,0.577616633505,,1/30
0,0.247388322192,,1/10
0,0.247388322192,,1/10
0,0.247388322192,,1/10
0,0.247388322192,,1/10
0,0.247388322192,,1/10
0,0.247388322192,,1/10
0,0.247388322192,,1/10
0,0.247388322192,,1/10
0,0.247388322192,,1/10
0,0.247388322192,,1/10
