,AP,BLESS,Battig,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.5049751243781094,0.5750000000000001,0.3421907857006309,0.6078267730388799,0.5236119797791019,0.6555933198210682,0.2210852329209001,0.2977091833835923,0.5549853324402096,0.5131442982046813,0.5750410289969867,0.2946684404420794,0.179375,0.14944815782408244,1
0,0.48507462686567165,0.595,0.3507933473523227,0.5999109641234797,0.5558667650676801,0.664291727704816,0.21593963326913368,0.29215670478753025,0.5713737939378278,0.52516019592401,0.6241320841736183,0.3154420794105608,0.17925,0.14051680052865223,1
0,0.48507462686567165,0.62,0.3471611546549417,0.5949953431982622,0.5434215397035274,0.688572961772263,0.21654688818011938,0.3062460177440751,0.5381186246360181,0.48596408035053407,0.5714847249121572,0.3081764224314368,0.17675,0.1378290672426377,1
0,0.4900497512437811,0.6,0.3368380806729115,0.6035415281906034,0.5374200118938184,0.7344035178833669,0.2195258842772565,0.28558061201813073,0.5280193885265557,0.46468213962132093,0.5832546712066246,0.3237310683585755,0.18225,0.11972178111324354,1
0,0.5149253731343284,0.63,0.3555725482699293,0.5974743452272044,0.5478110008950895,0.6700615258990609,0.2144005205608099,0.3010531353222595,0.5403674462589986,0.4758510340970398,0.5904963908597991,0.32040523945968075,0.176,0.13455646887543946,1
0,0.48009950248756217,0.61,0.3475434907283502,0.5975375844942118,0.5656181055289213,0.64619554245923,0.21849132787805509,0.30937179990585134,0.5537447020470878,0.49311355261664824,0.5898120999971674,0.3029574293900941,0.18025,0.1330503507950843,1
0,0.472636815920398,0.64,0.3419996176639266,0.591583698187689,0.5826193037680727,0.6435510516202011,0.21635300842331612,0.2912165321886327,0.544953072638941,0.5164644459347233,0.5517579248030436,0.3239869013507982,0.185,0.15537039047549994,1
0,0.4975124378109453,0.605,0.35366086790288664,0.5836570900959654,0.5271125325630512,0.6690780375704964,0.22098311764338704,0.29565744744663597,0.5401281866977522,0.5044672955204766,0.5815640280585923,0.3131395824805567,0.184125,0.15103641012020225,1
,AP,BLESS,Battig,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.4975124378109453,0.63,0.3616899254444657,0.6113619926182239,0.5609306493429166,0.6985171215388593,0.21913386178936292,0.2956252503731954,0.5590380129217545,0.5312819409255227,0.5991576195456236,0.3930106426524765,0.221375,0.14860557708959063,2
0,0.5099502487562189,0.7000000000000001,0.3664691263620723,0.611837844134294,0.5564736696943513,0.6979488838379109,0.21324071344167447,0.3073739383990706,0.5387900246134723,0.4931619206637601,0.5699927699915348,0.39459680720425705,0.2205,0.1400514499296023,2
0,0.5074626865671642,0.63,0.36302810170139554,0.6026704315335961,0.5479744666330971,0.6963534472160174,0.2203186548725444,0.28282806314619285,0.5402429057918275,0.4967666524849485,0.5852207521861562,0.4012996316004912,0.22075,0.150490615887648,2
0,0.4925373134328358,0.59,0.35519021219652075,0.603458229468024,0.5499566156208325,0.6696681305676351,0.220732783071365,0.29354333344122896,0.5470769445708714,0.5004459985803639,0.5867951949990245,0.389428980761359,0.221625,0.15861663269305543,2
0,0.5298507462686567,0.6,0.3634104377748041,0.6052898759814789,0.5500845453288385,0.6295636620583955,0.2157243716085129,0.28727092226489176,0.5492377830598701,0.5114641647232224,0.5790147935451828,0.4023229635693819,0.22675,0.13693030777747867,2
