sample_size, average_KL_divergence_word
1/100000, 1.3139953341
1/50000, 0.965210740349
1/30000, 0.813766797895
1/10000, 0.539754196807
1/5000, 0.445061450803
1/3000, 0.352693964318
1/1000, 0.231945301684
1/500, 0.175484118805
1/300, 0.138502114756
1/100, 0.0845623099948
1/50, 0.0598810226265
1/30, 0.0451501512805
1/10, 0.0228149755106

